id,address,addressNumber,bikes,district,lat,lon,name,nearbyStations,slots,stationType,status,zip
1,001 - Río Sena-Río Balsas,S/N,26,CUA,19.4335714,-99.1678091,1 RIO SENA-RIO BALSAS,"3,8,85",1,"BIKE,TPV",OPN,6500.0
2,002 - Río Guadalquivir - Río Balsas,S/N,2,CUA,19.431386,-99.171695,2 RIO GUADALQUIVIR-RIO BALSAS,"1,5",10,BIKE,OPN,6500.0
3,003 - Reforma - Insurgentes,S/N,22,1,19.431655,-99.158668,3 REFORMA-INSURGENTES,"8,20,86",14,"BIKE,TPV",OPN,6500.0
4,004 - Río Nilo - Río Panuco,S/N,7,CUA,19.428309,-99.171713,4 RIO NILO-RIO PANUCO,"5,8,9,10",9,BIKE,OPN,6500.0
5,005 - Río Pánuco Río Tiber,S/N,6,CUA,19.42972,-99.169363,5 RIO PANUCO-RIO TIBER,"2,4,9,10",5,BIKE,OPN,6500.0
6,006 - Río Pánuco - Río Sena,S/N,9,CUA,19.430922,-99.166959,6 RIO PANUCO-RIO SENA,"1,3,5,10",5,BIKE,OPN,6500.0
7,007 - Río Elba - Río Lerma,S/N,1,CUA,19.425468,-99.175166,7 RIO ELBA-RIO LERMA,"13,14,21,28",21,BIKE,OPN,6500.0
8,008 - Reforma - General Prim,S/N,1,TAB,19.431141,-99.158317,8 REFORMA-GENERAL PRIM,"3,20,86",11,BIKE,OPN,6500.0
9,009 - Río Guadalquivir - Río Lerma,S/N,0,CUA,19.428009,-99.169918,9 RIO GUADALQUIVIR-RIO LERMA,"4,5,8,16",24,BIKE,OPN,6500.0
10,010 - Reforma - Ramírez,S/N,21,TAB,19.433321,-99.154752,10 REFORMA-RAMIREZ,26,15,"BIKE,TPV",OPN,6500.0
11,011 - Río Amazonas - Rio Lerma,S/N,9,CUA,19.430992,-99.163593,11 RIO AMAZONAS-RIO LERMA,"3,12,19",6,BIKE,OPN,6500.0
12,012 - Río Lerma - Villalongin,S/N,14,1,19.432313,-99.161597,12 RIO LERMA-VILLALONGIN,"11,19,20,85",1,BIKE,OPN,6500.0
13,013 - Reforma - Rio Mississippi,S/N,0,1,19.42502,-99.17231,13 REFORMA-RIO MISSISSIPPI,"7,14,21",30,"BIKE,TPV",OPN,6500.0
