,node,nearest station,distance
0,276070400,364,438.412
1,275513347,398,243.18599999999998
2,275513349,401,152.025
3,268861478,106,968.822
4,268861479,106,1004.346
5,276070440,365,603.999
6,275513397,401,24.828000000000003
7,270467134,91,2978.144
8,338886719,456,604.565
9,270467136,91,3629.343
10,270467137,91,3423.8820000000005
11,270467138,268,1944.898
12,275513410,401,163.005
13,275513411,401,318.191
14,1005060165,362,1643.458
15,275513413,401,488.76099999999997
16,275513412,406,0.0
17,270467144,266,3435.4839999999995
18,275513422,401,259.656
19,275513426,401,392.535
20,275677269,408,1267.9669999999999
21,275677270,408,1133.8139999999999
22,275677271,408,1009.982
23,275677272,408,996.85
24,275513436,401,0.0
25,275513437,374,235.884
26,5832540258,3,152.91
27,5832540259,20,150.56799999999998
28,5832540260,20,212.912
29,5832540261,8,171.696
30,5832540262,20,174.697
31,5832540263,20,188.856
32,3497394278,166,242.47
33,2377711721,66,258.707
34,3497394279,166,224.233
35,3497394282,172,369.255
36,275415144,309,65.499
37,275415149,309,192.86599999999999
38,275415145,308,62.895
39,268861551,109,231.91
40,2377711727,66,289.168
41,275415146,308,154.71099999999996
42,270106738,264,0.161
43,275513459,359,0.0
44,2336489586,457,7361.638000000003
45,270106742,264,166.53
46,276070529,365,115.18700000000001
47,276070530,365,457.232
48,276070531,364,314.2630000000001
49,268861572,109,423.70900000000006
50,275415182,309,116.119
51,270106770,265,407.44400000000013
52,274923675,330,332.49300000000005
53,274923676,330,250.96200000000002
54,270106786,268,1501.3529999999998
55,345211043,188,229.479
56,270106787,268,1488.148
57,270500009,109,3067.118
58,345211051,186,0.0
59,5317034156,355,107.341
60,275415214,309,162.22000000000003
61,345211054,186,122.805
62,3430645982,466,559.033
63,272400567,461,1510.4329999999998
64,3981115578,266,2894.4409999999993
65,3981115579,266,2975.036
66,3981115580,266,2905.0219999999995
67,3981115584,266,2707.9859999999994
68,268861637,109,563.97
69,268861638,109,467.875
70,373110736,466,1177.7839999999999
71,275513552,399,67.15
72,1137180881,191,465.96400000000006
73,275513553,358,72.782
74,275513555,358,89.55499999999998
75,1137180884,191,377.852
76,1137180885,285,655.5389999999999
77,275513557,342,313.272
78,275513556,360,178.572
79,4522213589,466,706.81
80,268861657,110,566.23
81,275513562,358,178.56
82,4807819483,164,293.881
83,1137180891,191,486.383
84,4522213591,466,650.799
85,1137180894,399,483.13300000000004
